,title,author,num_rating,num_reviews,avg_rating,num_pages,original_publish_year,series,genres,award,place,url
163,Carry On,Rainbow Rowell,230549,28967,4.21,522,2017,True,"['Fantasy', 'Young Adult', 'LGBT', 'Romance', 'Fiction', 'Fantasy Magic', 'GLBT Queer', 'Paranormal Vampires', 'Audiobook', 'Young Adult Young Adult Fantasy']",3,,https://www.goodreads.com//book/show/32768522-carry-on
164,Keeping Faith,Jodi Picoult,78956,3831,3.8,422,2006,False,"['Fiction', 'Contemporary', 'Womens Fiction Chick Lit', 'Drama', 'Adult Fiction', 'Adult', 'Religion', 'Romance', 'Novels', 'Family']",0,United States,https://www.goodreads.com//book/show/10913.Keeping_Faith
165,It's Not Summer Without You,Jenny Han,116198,5698,4.08,275,2010,True,"['Young Adult', 'Romance', 'Contemporary', 'Fiction', 'Womens Fiction Chick Lit', 'Realistic Fiction', 'Young Adult Young Adult Contemporary', 'Young Adult Teen', 'Young Adult Young Adult Romance', 'Romance Contemporary Romance']",1,United States,https://www.goodreads.com//book/show/6584188-it-s-not-summer-without-you
166,Bunnicula,Deborah Howe,63824,2557,3.86,98,2006,True,"['Childrens', 'Fiction', 'Fantasy', 'Mystery', 'Horror', 'Animals', 'Childrens Middle Grade', 'Young Adult', 'Humor', 'Paranormal Vampires']",12,,https://www.goodreads.com//book/show/281235.Bunnicula
167,Beauty: A Retelling of the Story of Beauty and the Beast,Robin McKinley,74899,5244,4.05,256,1993,True,"['Fantasy', 'Young Adult', 'Romance', 'Fantasy Fairy Tales', 'Fiction', 'Retellings', 'Fairy Tales Beauty and The Beast', 'Fairy Tales Fairy Tale Retellings', 'Fantasy Magic', 'Young Adult Young Adult Fantasy']",1,,https://www.goodreads.com//book/show/41424.Beauty
168,The Diviners,Libba Bray,90640,12553,3.93,578,2012,True,"['Fantasy', 'Young Adult', 'Historical Historical Fiction', 'Fantasy Paranormal', 'Mystery', 'Historical', 'Horror', 'Fiction', 'Audiobook', 'Fantasy Supernatural']",8,United States,https://www.goodreads.com//book/show/7728889-the-diviners
169,A is for Alibi,Sue Grafton,166904,4893,3.86,308,2005,True,"['Mystery', 'Fiction', 'Mystery Crime', 'Thriller Mystery Thriller', 'Thriller', 'Mystery Detective', 'Audiobook', 'Suspense', 'Adult', 'Mystery Murder Mystery']",1,United States,https://www.goodreads.com//book/show/64863.A_is_for_Alibi
170,"Wood, Talc and Mr. J",Chris   Rose,165,28,4.35,275,2014,False,"['Fiction', 'Music', 'Politics', 'Literature', 'Young Adult Coming Of Age', 'Unfinished', 'Literary Fiction', 'Humor', 'Adventure', 'Cities Urbanism']",0,,https://www.goodreads.com//book/show/22752404-wood-talc-and-mr-j
171,Archangel's Kiss,Nalini Singh,52466,2328,4.2,323,2010,True,"['Fantasy Paranormal', 'Fantasy Urban Fantasy', 'Romance Paranormal Romance', 'Romance', 'Paranormal Angels', 'Fantasy', 'Paranormal Vampires', 'Adult', 'Fantasy Supernatural', 'Fiction']",2,,https://www.goodreads.com//book/show/6582637-archangel-s-kiss
172,Amy & Roger's Epic Detour,Morgan Matson,91228,8716,3.99,343,2010,False,"['Young Adult', 'Contemporary', 'Romance', 'Fiction', 'Travel Road Trip', 'Realistic Fiction', 'Young Adult Young Adult Contemporary', 'Travel', 'Womens Fiction Chick Lit', 'Young Adult Young Adult Romance']",3,,https://www.goodreads.com//book/show/7664334-amy-roger-s-epic-detour
173,The Master and Margarita,Mikhail Bulgakov,260022,12682,4.29,372,1996,False,"['Classics', 'Fiction', 'Cultural Russia', 'Fantasy', 'Literature Russian Literature', 'Magical Realism', 'Literature', 'Novels', 'Historical Historical Fiction', 'Literature 20th Century']",0,Russian Federation,https://www.goodreads.com//book/show/117833.The_Master_and_Margarita
174,Seraphina,Rachel Hartman,85337,8251,3.93,499,2013,True,"['Fantasy', 'Young Adult', 'Fantasy Dragons', 'Fiction', 'Romance', 'Young Adult Young Adult Fantasy', 'Fantasy High Fantasy', 'Adventure', 'Mystery', 'Fantasy Magic']",18,,https://www.goodreads.com//book/show/19549841-seraphina
175,Make Love! the Bruce Campbell Way,Bruce Campbell,3316,285,3.68,353,2006,False,"['Humor', 'Fiction', 'Humor Comedy', 'Culture Film', 'Audiobook', 'Adult Fiction', 'Media Tie In', 'Novels', 'Literature American', 'Unfinished']",0,,https://www.goodreads.com//book/show/92184.Make_Love_the_Bruce_Campbell_Way
176,Hard Eight,Janet Evanovich,117069,2264,4.16,326,2003,True,"['Mystery', 'Fiction', 'Humor', 'Womens Fiction Chick Lit', 'Romance', 'Mystery Crime', 'Humor Comedy', 'Thriller Mystery Thriller', 'Contemporary', 'Adult']",2,United States,https://www.goodreads.com//book/show/6425.Hard_Eight
177,Eleven on Top,Janet Evanovich,101347,2077,4.16,321,2006,True,"['Mystery', 'Fiction', 'Humor', 'Womens Fiction Chick Lit', 'Romance', 'Mystery Crime', 'Humor Comedy', 'Thriller Mystery Thriller', 'Contemporary', 'Adult']",0,United States,https://www.goodreads.com//book/show/11003.Eleven_on_Top
178,Denali Skies,Danielle Rohr,106,34,3.73,216,2013,False,"['Travel', 'New Adult', 'Fiction', 'Fantasy']",0,,https://www.goodreads.com//book/show/17413424-denali-skies
179,Every Moment After,Joseph Moldover,613,123,3.76,364,2019,False,"['Contemporary', 'Young Adult', 'Fiction', 'Realistic Fiction', 'Young Adult Young Adult Contemporary', 'Romance', 'Health Mental Health', 'LGBT', 'Young Adult Coming Of Age', 'Young Adult Teen']",0,,https://www.goodreads.com//book/show/40142465-every-moment-after
180,White Cat,Holly Black,44741,4668,3.78,310,2010,True,"['Fantasy', 'Young Adult', 'Fantasy Urban Fantasy', 'Fantasy Paranormal', 'Fantasy Magic', 'Fiction', 'Mystery', 'Romance', 'Young Adult Young Adult Fantasy', 'Fantasy Supernatural']",2,,https://www.goodreads.com//book/show/6087756-white-cat
181,Beautiful Redemption,Kami Garcia,66961,4293,3.92,456,2012,True,"['Fantasy', 'Young Adult', 'Fantasy Paranormal', 'Romance', 'Fantasy Magic', 'Fiction', 'Fantasy Supernatural', 'Paranormal Witches', 'Romance Paranormal Romance', 'Fantasy Urban Fantasy']",0,United States,https://www.goodreads.com//book/show/7930335-beautiful-redemption
182,Ethereal Fury,Jessica O'Gorek,215,114,3.98,263,2013,True,"['Fantasy Paranormal', 'Fantasy', 'Young Adult', 'Science Fiction', 'Romance', 'Science Fiction Dystopia', 'Romance Paranormal Romance', 'Fiction', 'Paranormal Demons']",0,,https://www.goodreads.com//book/show/17977415-ethereal-fury
183,The Bone Season,Samantha Shannon,65212,8713,3.77,466,2013,True,"['Fantasy', 'Young Adult', 'Science Fiction Dystopia', 'Fiction', 'Science Fiction', 'Fantasy Paranormal', 'Fantasy Urban Fantasy', 'Romance', 'Adult', 'Audiobook']",2,United Kingdom,https://www.goodreads.com//book/show/17199504-the-bone-season
184,Trust: A New Beginning,Cristiane Serruya,3359,146,3.52,464,2012,True,"['Romance', 'Adult Fiction Erotica', 'Contemporary', 'Romance Contemporary Romance', 'Dark', 'Fiction', 'Suspense', 'Adult', 'Business Amazon', 'Romance Erotic Romance']",1,,https://www.goodreads.com//book/show/16160314-trust
185,Natural Born Charmer,Susan Elizabeth Phillips,33016,1644,4.15,400,2007,True,"['Romance', 'Romance Contemporary Romance', 'Contemporary', 'Womens Fiction Chick Lit', 'Sports Sports', 'Contemporary Romance Sports Romance', 'Fiction', 'Humor', 'Adult', 'Audiobook']",1,United States,https://www.goodreads.com//book/show/73064.Natural_Born_Charmer
186,Life Song,Christine M. Knight,77,56,4.19,338,2013,False,[],0,,https://www.goodreads.com//book/show/18251020-life-song
187,Vicious,V.E. Schwab,120599,18903,4.2,366,2013,True,"['Fantasy', 'Science Fiction', 'Fiction', 'Adult', 'Fantasy Paranormal', 'Young Adult', 'Fantasy Urban Fantasy', 'Comics Superheroes', 'Adult Fiction', 'Fantasy Supernatural']",1,,https://www.goodreads.com//book/show/40874032-vicious
188,Rot & Ruin,Jonathan Maberry,32852,3732,4.1,458,2010,True,"['Horror Zombies', 'Young Adult', 'Horror', 'Science Fiction Dystopia', 'Apocalyptic Post Apocalyptic', 'Fiction', 'Science Fiction', 'Fantasy', 'Fantasy Paranormal', 'Young Adult Teen']",4,United States,https://www.goodreads.com//book/show/7157310-rot-ruin
